Brand,Country,Delivered.to.Client.Date,Delivery.Recorded.Date,Dosage,Dosage Form,Fulfill.Via,ID,Item.Description,Manufacturing.Site.Split,Po / So #,PO.Sent.to.Vendor.Date,PO.Sent.to.Vendor.Date (group),Pq #,PQ.First.Sent.to.Client.Date,PQ.First.Sent.to.Client.Date (group),PQ.First.Sent.to.Client.Date(group),Product.Group,Scheduled.Delivery.Date,Shipment.Mode,Sub.Classification,Vendor.INCO.Term,Vendor.Split,Freight.Cost (USD),Item.Throughput,Line.Item. Quantity,Line.Item.Insurance (USD),Line.Item.Value,Pack.Price,Unit.of.Measure (Per Pack),Unit.Price,Weight (Kilograms)
Generic,Mozambique,15/08/2007,15/08/2007,200mg,Capsule,From RDC,1644,"Efavirenz 200mg, capsule, 90 Caps",Aurobindo,SO-499,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,15/08/2007,Air,Pediatric,N/A - From RDC,SCMS,740.43,4.688888889,422,11.44,7152.9,16.95,90,0.19,514
Trizivir,Côte d'Ivoire,3/08/2007,3/08/2007,300/150/300mg,Tablet.FDC,From RDC,1645,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",GSK,SO-523,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,3/08/2007,Air,Adult,N/A - From RDC,SCMS,6889,6.666666667,400,44.8,28000,70,60,1.17,2270
Norvir,Côte d'Ivoire,17/08/2007,17/08/2007,100mg,Capsule,From RDC,1647,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",ABBVIE,SO-631,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,17/08/2007,Air,Adult,N/A - From RDC,SCMS,5911.5,3.050595238,1025,62.91,39319,38.36,336,0.11,1436
Generic,Mozambique,4/09/2007,4/09/2007,150/300mg,Tablet.FDC,From RDC,1648,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Aurobindo,SO-925,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,4/09/2007,Air,Adult,N/A - From RDC,SCMS,1998.5,180,10800,164.16,102600,9.5,60,0.16,1020
Generic,Mozambique,4/09/2007,4/09/2007,30mg,Capsule,From RDC,1649,"Stavudine 30mg, capsules, 60 Caps",Aurobindo,SO-927,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,4/09/2007,Air,Adult,N/A - From RDC,SCMS,1998.5,10.5,630,1.53,957.6,1.52,60,0.03,36
Generic,Zambia,21/08/2007,21/08/2007,10mg/ml,Oral.suspension,From RDC,1650,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Aurobindo,SO-942,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,21/08/2007,Air,Pediatric,N/A - From RDC,SCMS,13116,44.266666667,10624,105.39,65868.8,6.2,240,0.03,3785
Kaletra,Zambia,14/09/2007,14/09/2007,80/20mg/ml,Oral.solution,From RDC,1653,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",ABBVIE,SO-627,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/09/2007,Air,Pediatric,N/A - From RDC,SCMS,2839.2,2.216666667,665,43.73,27331.5,41.1,300,0.14,603
Generic,Zambia,14/09/2007,14/09/2007,1mg/ml,Oral.solution,From RDC,1656,"Stavudine 1mg/ml, powder for oral solution, 200 ml",Aurobindo,SO-1072,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/09/2007,Air,Pediatric,N/A - From RDC,SCMS,5181,45.25,9050,21,13122.5,1.45,200,0.01,1084
Generic,Zambia,26/11/2007,26/11/2007,600mg,Tablet,From RDC,1657,"Efavirenz 600mg, tablets, 30 Tabs",Aurobindo,SO-978,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,26/11/2007,Air,Adult,N/A - From RDC,SCMS,13484.72,1471.166666667,44135,877.05,548156.7,12.42,30,0.41,4082
Generic,Zambia,21/09/2007,21/09/2007,1mg/ml,Oral.solution,From RDC,1660,"Stavudine 1mg/ml, powder for oral solution, 200 ml",Aurobindo,SO-1073,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,21/09/2007,Air,Pediatric,N/A - From RDC,SCMS,3094,14.75,2950,6.84,4277.5,1.45,200,0.01,267
Generic,Zimbabwe,25/11/2007,25/11/2007,600mg,Tablet,From RDC,1662,"Efavirenz 600mg, tablets, 30 Tabs",Cipla,SO-706,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,25/11/2007,Air,Adult,N/A - From RDC,SCMS,5145.86,62,1860,36.96,23101.2,12.42,30,0.41,4256
Generic,Zambia,26/02/2008,26/02/2008,150/300mg,Tablet.FDC,From RDC,1667,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Aurobindo,SO-1363,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,26/02/2008,Air,Adult,N/A - From RDC,SCMS,19832.46,461.35,27681,420.75,262969.5,9.5,60,0.16,2581
Generic,Côte d'Ivoire,19/02/2008,19/02/2008,600mg,Tablet,From RDC,1668,"Efavirenz 600mg, tablets, 30 Tabs",Aurobindo,SO-1546,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,19/02/2008,Air,Adult,N/A - From RDC,SCMS,12349.51,818.7,24561,471.96,294977.61,12.01,30,0.4,7191
Stocrin/Sustiva,Côte d'Ivoire,22/11/2007,22/11/2007,30mg/ml,Oral.solution,From RDC,1670,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",MSD,SO-1101,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,22/11/2007,Air,Pediatric,N/A - From RDC,SCMS,25563,16.816666667,3027,46.01,28756.5,9.5,180,0.05,9248
Truvada,Zambia,26/11/2007,26/11/2007,300/200mg,Tablet.FDC,From RDC,1672,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Aspen-OSD,SO-1186,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,26/11/2007,Air,Adult,N/A - From RDC,SCMS,6785.1,599.8,17994,755.75,472342.5,26.25,30,0.88,1620
Generic,Côte d'Ivoire,29/11/2007,29/11/2007,150mg,Tablet,From RDC,1673,"Lamivudine 150mg, tablets, 60 Tabs",Aurobindo,SO-1306,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,29/11/2007,Air,Adult,N/A - From RDC,SCMS,10666,1166.666666667,70000,340.48,212800,3.04,60,0.05,3681
Generic,Côte d'Ivoire,14/12/2007,14/12/2007,200mg,Tablet,From RDC,1674,"Nevirapine 200mg, tablets, 60 Tabs",Aurobindo,SO-1143,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/12/2007,Air,Adult,N/A - From RDC,SCMS,10722.75,219.016666667,13141,71.49,44679.4,3.4,60,0.06,1271
Generic,Zambia,22/02/2008,22/02/2008,20mg/ml,Oral.solution,From RDC,1679,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Aurobindo,SO-755,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,22/02/2008,Air,Pediatric,N/A - From RDC,SCMS,33363.16,8.7125,2091,55.2,34501.5,16.5,240,0.07,9386
Generic,Zambia,8/01/2008,8/01/2008,600mg,Tablet,From RDC,1680,"Efavirenz 600mg, tablets, 30 Tabs",Mylan,SO-1032,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,8/01/2008,Air,Adult,N/A - From RDC,SCMS,12492,1471.166666667,44135,877.05,548156.7,12.42,30,0.41,3454
Generic,Côte d'Ivoire,28/12/2007,28/12/2007,10mg/ml,Oral.suspension,From RDC,1684,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Aurobindo,SO-1144,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,28/12/2007,Air,Pediatric,N/A - From RDC,SCMS,1301,1.979166667,475,1.46,912,1.92,240,0.01,170
Truvada,Zambia,24/12/2007,24/12/2007,300/200mg,Tablet.FDC,From RDC,1685,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Aspen-OSD,SO-1187,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,24/12/2007,Air,Adult,N/A - From RDC,SCMS,6035.4,590.2,17706,743.65,464782.5,26.25,30,0.88,1594
Generic,Uganda,15/01/2008,15/01/2008,150/300mg,Tablet.FDC,From RDC,1689,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Aurobindo,SO-1302,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,15/01/2008,Air,Adult,N/A - From RDC,SCMS,1154.5,34.733333333,2084,31.68,19798,9.5,60,0.16,237
Aluvia,Rwanda,29/02/2008,29/02/2008,200/50mg,Tablet,From RDC,1690,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SO-1534,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,29/02/2008,Air,Adult,N/A - From RDC,SCMS,5531.4,5,600,39.46,24660,41.1,120,0.34,859
Viread,Ethiopia,14/12/2007,14/12/2007,300mg,Tablet,From RDC,1692,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Gilead,SO-1512,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/12/2007,Air,Adult,N/A - From RDC,SCMS,755.5,17.833333333,535,14.55,9095,17,30,0.57,33
Viread,Ethiopia,7/02/2008,7/02/2008,300mg,Tablet,From RDC,1694,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Aspen-OSD,SO-1601,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,7/02/2008,Air,Adult,N/A - From RDC,SCMS,1628.18,146.466666667,4394,119.52,74698,17,30,0.57,317
Generic,Nigeria,16/01/2008,16/01/2008,10mg/ml,Oral.suspension,From RDC,1695,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Aurobindo,SO-1430,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,16/01/2008,Air,Pediatric,N/A - From RDC,SCMS,2047,3.3,792,7.86,4910.4,6.2,240,0.03,272
Generic,Ethiopia,16/01/2008,16/01/2008,150mg,Tablet,From RDC,1696,"Lamivudine 150mg, tablets, 60 Tabs",Ranbaxy,SO-1523,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,20/12/2007,Air,Adult,N/A - From RDC,SCMS,11339.5,491.666666667,29500,143.49,89680,3.04,60,0.05,1650
Crixivan,Côte d'Ivoire,5/02/2008,5/02/2008,400mg,Capsule,From RDC,1698,"Indinavir 400mg [Crixivan], capsules, 180 Caps",MSD,SO-1284,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,5/02/2008,Air,Adult,N/A - From RDC,SCMS,1888.48,8.611111111,1550,124,77500,50,180,0.28,345
Generic,Zimbabwe,5/03/2008,5/03/2008,150/200/30mg,Tablet.FDC,From RDC,1699,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Cipla,SO-711,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,5/03/2008,Air,Adult,N/A - From RDC,SCMS,12894.85,41.8,2508,29.69,18559.2,7.4,60,0.12,4303
Generic,Zambia,29/07/2008,29/07/2008,600mg,Tablet,From RDC,1700,"Efavirenz 600mg, tablets, 30 Tabs",Mylan,SO-1807,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,29/07/2008,Truck,Adult,N/A - From RDC,SCMS,5468.93,1666.666666667,50000,960.8,600500,12.01,30,0.4,3882
Generic,Haiti,13/06/2008,13/06/2008,200mg,Tablet,From RDC,1702,"Nevirapine 200mg, tablets, 60 Tabs",Aurobindo,SO-2598,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,13/06/2008,Air,Adult,N/A - From RDC,SCMS,19069.17,297.383333333,17843,97.07,60666.2,3.4,60,0.06,1667
Generic,Zambia,23/07/2008,23/07/2008,600mg,Tablet,From RDC,1703,"Efavirenz 600mg, tablets, 30 Tabs",Mylan,SO-1895,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,23/07/2008,Truck,Adult,N/A - From RDC,SCMS,1934.31,1500,45000,864.72,540450,12.01,30,0.4,3457
Generic,Nigeria,14/05/2008,14/05/2008,150/300/200mg,Tablet.FDC,From RDC,1705,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Aurobindo,SO-2575,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/05/2008,Air,Adult,N/A - From RDC,SCMS,10098.25,2.733333333,164,3.48,2177.92,13.28,60,0.22,2095
Generic,Tanzania,28/03/2008,28/03/2008,600mg,Tablet,From RDC,1706,"Efavirenz 600mg, tablets, 30 Tabs",Aurobindo,SO-1942,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,28/03/2008,Air,Adult,N/A - From RDC,SCMS,14637,1666.566666667,49997,993.54,620962.74,12.42,30,0.41,4345
Generic,Haiti,2/06/2008,2/06/2008,200mg,Chewable.tablet,From RDC,1708,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",Aurobindo,SO-2047,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,2/06/2008,Air,Pediatric,N/A - From RDC,SCMS,991.49,1.633333333,98,2.43,1519,15.5,60,0.26,77
Generic,Guyana,25/07/2008,25/07/2008,150mg,Tablet,From RDC,1711,"Lamivudine 150mg, tablets, 60 Tabs",Aurobindo,SO-11630,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,25/07/2008,Air,Adult,N/A - From RDC,SCMS,5228.67,7.183333333,431,2,1249.9,2.9,60,0.05,377
Generic,Haiti,1/07/2008,1/07/2008,200mg,Capsule,From RDC,1713,"Efavirenz 200mg, capsule, 90 Caps",Aurobindo,SO-2601,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,1/07/2008,Air,Pediatric,N/A - From RDC,SCMS,1015.24,1.166666667,105,2.69,1680,16,90,0.18,14
Generic,Tanzania,1/04/2008,1/04/2008,100mg,Chewable.tablet,From RDC,1715,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Aurobindo,SO-1651,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,1/04/2008,Air,Pediatric,N/A - From RDC,SCMS,6923.3,156.116666667,9367,116.15,72594.25,7.75,60,0.13,1955
Generic,Namibia,14/03/2008,14/03/2008,600mg,Tablet,From RDC,1717,"Efavirenz 600mg, tablets, 30 Tabs",Aurobindo,SO-1764,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,14/03/2008,Air,Adult,N/A - From RDC,SCMS,6074.62,700,21000,403.54,252210,12.01,30,0.4,1815
Generic,Uganda,7/04/2008,7/04/2008,150/300/200mg,Tablet.FDC,From RDC,1718,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Cipla,SO-1928,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,7/04/2008,Air,Adult,N/A - From RDC,SCMS,1472.77,24.166666667,1450,31.32,19575,13.5,60,0.22,167
Stocrin/Sustiva,Haiti,11/04/2008,11/04/2008,30mg/ml,Oral.solution,From RDC,1719,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",MSD,SO-2072,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,11/04/2008,Air,Pediatric,N/A - From RDC,SCMS,896.55,0.188888889,34,0.92,576.64,16.96,180,0.09,14
Generic,Ethiopia,6/03/2008,6/03/2008,150mg,Tablet,From RDC,1720,"Lamivudine 150mg, tablets, 60 Tabs",Ranbaxy,SO-1537,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,6/03/2008,Air,Adult,N/A - From RDC,SCMS,12047.8,1091.666666667,65500,318.59,199120,3.04,60,0.05,3858
Generic,Mozambique,22/05/2008,22/05/2008,150/200/30mg,Tablet.FDC,From RDC,1722,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Cipla,SO-1876,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,22/05/2008,Air,Adult,N/A - From RDC,SCMS,6260.71,650,39000,461.76,288600,7.4,60,0.12,7719
Aluvia,Guyana,20/05/2008,20/05/2008,200/50mg,Tablet,From RDC,1725,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SO-2465,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,20/05/2008,Air,Adult,N/A - From RDC,SCMS,4220.15,12.75,1530,201.23,125766,82.2,120,0.68,347
Generic,Tanzania,10/07/2008,10/07/2008,150mg,Tablet,From RDC,1726,"Lamivudine 150mg, tablets, 60 Tabs",Aurobindo,SO-2721,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,10/07/2008,Air,Adult,N/A - From RDC,SCMS,4152.56,189.2,11352,52.85,33034.32,2.91,60,0.05,572
Aluvia,Tanzania,26/09/2008,26/09/2008,200/50mg,Tablet,From RDC,1727,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",ABBVIE,SO-2682,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,26/09/2008,Air,Adult,N/A - From RDC,SCMS,1153.97,21.5,2580,169.66,106038,41.1,120,0.34,587
Generic,Ethiopia,11/11/2008,11/11/2008,300mg,Tablet,From RDC,1728,"Zidovudine 300mg, tablets, 60 Tabs",Aurobindo,SO-18340,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,11/11/2008,Air,Adult,N/A - From RDC,SCMS,1774.3,83.333333333,5000,77.42,39500,7.9,60,0.13,229
Generic,Zimbabwe,19/11/2008,19/11/2008,150/30mg,Tablet.FDC,From RDC,1729,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Cipla,SO-13991,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,19/11/2008,Truck,Adult,N/A - From RDC,SCMS,29883.7,266.666666667,8000,31.36,16000,2,30,0.07,8855
Generic,Zambia,11/12/2008,11/12/2008,300mg,Tablet,From RDC,1730,"Zidovudine 300mg, tablets, 60 Tabs",Aurobindo,SO-19411,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,11/12/2008,Air,Adult,N/A - From RDC,SCMS,1659.48,38.433333333,2306,36.84,18793.9,8.15,60,0.14,132
Generic,Guyana,21/11/2008,21/11/2008,300mg,Tablet,From RDC,1732,"Zidovudine 300mg, tablets, 60 Tabs",Aurobindo,SO-18470,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,21/11/2008,Air,Adult,N/A - From RDC,SCMS,1465.71,6.933333333,416,6.44,3286.4,7.9,60,0.13,49
Generic,Uganda,3/03/2009,3/03/2009,300mg,Tablet,From RDC,1733,"Zidovudine 300mg, tablets, 60 Tabs",Aurobindo,SO-17790,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,3/03/2009,Air,Adult,N/A - From RDC,SCMS,978.92,0.833333333,50,0.77,395,7.9,60,0.13,3
Generic,Zambia,21/10/2008,21/10/2008,200mg,Tablet,From RDC,1734,"Nevirapine 200mg, tablets, 60 Tabs",Aurobindo,SO-2490,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,21/10/2008,Truck,Adult,N/A - From RDC,SCMS,4060.55,674.233333333,40454,269.59,137543.6,3.4,60,0.06,3787
Generic,Uganda,15/12/2008,15/12/2008,200mg,Tablet,From RDC,1735,"Nevirapine 200mg, tablets, 60 Tabs",Hetero,SO-17770,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,15/12/2008,Truck,Adult,N/A - From RDC,SCMS,5698.01,42.05,2523,15.82,8073.6,3.2,60,0.05,585
Generic,Rwanda,6/03/2009,6/03/2009,150/300mg,Tablet.FDC,From RDC,1736,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Aurobindo,SO-24620,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,6/03/2009,Air,Adult,N/A - From RDC,SCMS,21215.4,250,15000,257.54,131400,8.76,60,0.15,1364
Generic,Nigeria,17/11/2008,17/11/2008,30mg,Capsule,From RDC,1737,"Stavudine 30mg, capsules, 60 Caps",Aurobindo,SO-2729,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,17/11/2008,Air,Adult,N/A - From RDC,SCMS,4984.4,15.8,948,2.88,1469.4,1.55,60,0.03,127
Generic,Nigeria,17/11/2008,17/11/2008,200mg,Tablet,From RDC,1740,"Nevirapine 200mg, tablets, 60 Tabs",Aurobindo,SO-10650,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,17/11/2008,Air,Adult,N/A - From RDC,SCMS,4401.4,40.9,2454,16.35,8343.6,3.4,60,0.06,231
Generic,Nigeria,26/11/2008,26/11/2008,150/300mg,Tablet.FDC,From RDC,1741,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Aurobindo,SO-17690,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,26/11/2008,Air,Adult,N/A - From RDC,SCMS,2426.8,46.333333333,2780,50.95,25993,9.35,60,0.16,262
Generic,Zambia,23/09/2008,23/09/2008,150/300mg,Tablet.FDC,From RDC,1742,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Aurobindo,SO-2486,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,23/09/2008,Truck,Adult,N/A - From RDC,SCMS,6269.7,440.033333333,26402,399.2,249498.9,9.45,60,0.16,6986
Truvada,Nigeria,12/09/2008,12/09/2008,300/200mg,Tablet.FDC,From RDC,1744,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Aspen-OSD,SO-12780,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,12/09/2008,Air,Adult,N/A - From RDC,SCMS,747.5,2.533333333,76,3.19,1995,26.25,30,0.88,7
Generic,Haiti,10/12/2008,10/12/2008,10mg/ml,Oral.solution,From RDC,1745,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Aurobindo,SO-15970,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,10/12/2008,Air,Pediatric,N/A - From RDC,SCMS,6338.09,6.645833333,1595,5.94,3030.5,1.9,240,0.01,598
Generic,Zambia,7/11/2008,7/11/2008,200mg,Tablet,From RDC,1746,"Nevirapine 200mg, tablets, 60 Tabs",Hetero,SO-2493,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,7/11/2008,Truck,Adult,N/A - From RDC,SCMS,2938.92,833.333333333,50000,333.2,170000,3.4,60,0.06,2773
Generic,Mozambique,18/12/2008,18/12/2008,150/200/30mg,Tablet.FDC,From RDC,1747,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Strides,SO-15091,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,18/12/2008,Air,Adult,N/A - From RDC,SCMS,7534.18,1549.166666667,92950,1311.71,669240,7.2,60,0.12,6883
Generic,Namibia,30/10/2008,30/10/2008,30/50/6mg,Chewable.tablet.FDC,From RDC,1749,"Lamivudine/Nevirapine/Stavudine 30/50/6mg, dispersible tablets, 60 Tabs",Cipla,SO-15510,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,30/10/2008,Truck,Pediatric,N/A - From RDC,SCMS,2989.45,16.8,1008,4.92,2509.92,2.49,60,0.04,303
Generic,Ethiopia,4/03/2009,4/03/2009,150/200/30mg,Tablet.FDC,From RDC,1751,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Strides,SO-23980,N/A - From RDC,N/A - From RDC,Pre-PQ,Pre-PQ Process,Pre-PQ Process,Pre-PQ Process,ARV,4/03/2009,Air,Adult,N/A - From RDC,SCMS,14732.36,698.7,41922,585.03,298484.64,7.12,60,0.12,3190
