,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Days to Deliver
4044,SCMS-199289,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,8/29/2014,2014-08-29,2014-08-29,2014-08-29,ARV,Pediatric,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,6,38.64,6.44,0.11,ABBVIE Ludwigshafen Germany,No,4306.83476898982,11462.107118413907,0.05,414 days 00:00:00.000000000
4045,SCMS-49640,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-07,7/21/2009,2009-09-30,2009-09-30,2009-09-30,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,2285,40375.94,17.67,0.59,"Cipla, Goa, India",Yes,4306.83476898982,11462.107118413907,79.14,146 days 00:00:00.000000000
4047,SCMS-62370,Vietnam,PMO - US,Direct Drop,FCA,Air,2009-01-04,1/11/2010,2010-03-22,2010-03-22,2010-03-22,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,4165,342363.0,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,1010.0,5417.87,738.13,442 days 00:00:00.000000000
4048,SCMS-83770,South Africa,PMO - US,Direct Drop,DDP,Ocean,2010-08-31,9/24/2010,2011-04-26,2011-04-26,2011-04-26,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,136403,323275.11,2.37,0.04,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,696.98,238 days 00:00:00.000000000
4049,SCMS-160990,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-09-18,9/24/2012,2013-02-04,2013-02-04,2013-02-04,ARV,Adult,MICRO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,13570,24968.8,1.84,0.03,"Micro labs, Verna, Goa, India",Yes,568.0,1646.5,35.01,139 days 00:00:00.000000000
4050,SCMS-68952,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,3/19/2010,2010-08-24,2010-08-24,2010-08-24,ARV,Pediatric,Aurobindo Pharma Limited,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,3184,9552.0,3.0,0.01,"Aurobindo Unit III, India",Yes,1205.0,3283.62,20.59,159 days 00:00:00.000000000
4052,SCMS-239170,Zimbabwe,PMO - US,Direct Drop,EXW,Ocean,2014-04-08,5/15/2014,2014-09-10,2014-09-10,2014-10-30,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,41840,248529.6,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,4528.0,25189.51,255.49,155 days 00:00:00.000000000
4054,SCMS-90650,Zimbabwe,PMO - US,Direct Drop,FCA,Air,2010-10-26,11/10/2010,2011-07-12,2011-07-12,2011-07-12,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,1083,39161.28,36.16,0.12,ABBVIE (Abbott) Logis. UK,Yes,1257.0,22837.98,84.43,259 days 00:00:00.000000000
4056,SCMS-199289,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,8/29/2014,2014-08-29,2014-08-29,2014-08-29,ARV,Adult,S. BUYS WHOLESALER,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,121,2368.94,19.58,0.33,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,2.93,414 days 00:00:00.000000000
4058,SCMS-174410,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-01-10,1/22/2013,2013-06-05,2013-06-05,2013-06-05,ARV,Adult,HETERO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,23003,50836.63,2.21,0.04,Hetero Unit III Hyderabad IN,Yes,1483.0,11346.48,62.88,146 days 00:00:00.000000000
4059,SCMS-50372,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-07,9/22/2009,2010-01-27,2010-01-27,2010-01-27,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,8000,36968.24,4.62,0.08,"Aurobindo Unit III, India",Yes,4306.83476898982,11462.107118413907,72.46,265 days 00:00:00.000000000
4060,SCMS-238556,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-04-30,4/28/2015,2015-04-28,2015-04-28,2015-04-28,ARV,Adult,PHARMACY DIRECT,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,60,1147.25,19.12,0.64,Mylan (formerly Matrix) Nashik,No,4306.83476898982,11462.107118413907,1.18,363 days 00:00:00.000000000
4061,SCMS-199710,Vietnam,PMO - US,Direct Drop,FCA,Air,2013-07-11,7/30/2013,2014-01-08,2014-01-08,2014-01-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,7067,429814.94,60.82,0.51,ABBVIE Ludwigshafen Germany,No,4306.83476898982,11462.107118413907,531.68,181 days 00:00:00.000000000
4063,SCMS-113621,Vietnam,PMO - US,Direct Drop,EXW,Air,2011-06-27,7/8/2011,2012-04-13,2012-04-13,2012-04-13,ARV,Adult,STRIDES ARCOLAB LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,21146,86698.6,4.1,0.14,"Strides, Bangalore, India.",Yes,1301.0,5664.49,143.05,291 days 00:00:00.000000000
4064,SCMS-199740,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-07-11,7/25/2013,2013-12-12,2013-12-12,2013-12-12,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,10762,87172.2,8.1,0.13,"Cipla, Goa, India",Yes,1485.0,2702.63,107.83,154 days 00:00:00.000000000
4065,SCMS-68720,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,3/19/2010,2010-07-19,2010-10-13,2010-10-13,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,63785,498798.7,7.82,0.26,"Cipla, Goa, India",Yes,4141.0,5404.34,1075.41,209 days 00:00:00.000000000
4067,SCMS-68910,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,3/19/2010,2010-08-24,2010-08-04,2010-08-04,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,25190,117637.3,4.67,0.16,"Aurobindo Unit III, India",Yes,2131.0,5886.9,253.63,139 days 00:00:00.000000000
4068,SCMS-148300,Zimbabwe,PMO - US,Direct Drop,FCA,Air,2012-05-29,7/18/2012,2012-12-13,2012-12-13,2012-12-13,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,1500,46230.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,1374.0,21730.49,64.81,198 days 00:00:00.000000000
4069,SCMS-98050,Vietnam,PMO - US,Direct Drop,EXW,Air,2011-01-17,2/15/2011,2011-06-22,2011-06-22,2011-06-22,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1556,4045.6,2.6,0.04,Mylan (formerly Matrix) Nashik,Yes,2113.0,10784.69,6.68,156 days 00:00:00.000000000
4070,SCMS-148290,Zimbabwe,PMO - US,Direct Drop,FCA,Air,2012-05-29,7/18/2012,2012-11-08,2012-11-08,2012-11-08,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,1500,46230.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,1374.0,15593.13,64.81,163 days 00:00:00.000000000
4071,SCMS-75990,South Africa,PMO - US,Direct Drop,DDP,Ocean,2010-06-02,6/17/2010,2011-01-12,2011-01-12,2011-01-12,ARV,Adult,Aurobindo Pharma Limited,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,3619,25007.29,6.91,0.23,"Aurobindo Unit III, India",Yes,338.0,6147.09,53.92,224 days 00:00:00.000000000
4073,SCMS-97570,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,2011-01-11,1/21/2011,2011-03-15,2011-03-15,2011-03-15,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,20280,733324.8,36.16,0.3,ABBVIE Ludwigshafen Germany,Yes,5089.0,31318.31,1209.99,63 days 00:00:00.000000000
4074,SCMS-259077,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,10/9/2014,2015-07-24,2015-07-24,2015-07-24,ARV,Adult,PHARMACY DIRECT,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,33,1645.14,49.85,0.83,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,1.69,316 days 00:00:00.000000000
4075,SCMS-258590,Haiti,PMO - US,Direct Drop,EXW,Air,2014-09-24,11/14/2014,2015-01-05,2015-01-05,2015-01-05,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,2118,2647.5,1.25,0.04,"Aurobindo Unit III, India",Yes,134.0,1987.82,2.72,103 days 00:00:00.000000000
4076,SCMS-238551,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-04-30,6/25/2014,2014-06-25,2014-06-25,2014-06-25,ARV,Adult,PHARMACY DIRECT,"Didanosine 250mg, delayed-release capsules, 30 Caps",Didanosine,Generic,250mg,Delayed-release capsules,30,5,76.23,15.25,0.51,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,0.08,56 days 00:00:00.000000000
4077,SCMS-240160,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-05-11,6/2/2014,2014-10-30,2014-10-30,2014-11-12,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,33936,156784.32,4.62,0.15,Hetero Unit III Hyderabad IN,Yes,14925.0,22100.46,161.17,172 days 00:00:00.000000000
4078,SCMS-277510,Uganda,PMO - US,Direct Drop,EXW,Air,2015-01-12,2/23/2015,2015-06-20,2015-06-20,2015-06-23,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,12370,241215.0,19.5,0.65,Mylan (formerly Matrix) Nashik,Yes,1652.0,7172.9,283.91,159 days 00:00:00.000000000
4079,SCMS-149420,Rwanda,PMO - US,Direct Drop,EXW,Air,2012-06-04,6/12/2012,2012-06-29,2012-06-29,2012-06-29,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,22500,52875.0,2.35,0.04,"Aurobindo Unit III, India",Yes,2145.0,17858.68,74.13,25 days 00:00:00.000000000
4084,SCMS-238555,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-04-30,11/4/2014,2014-11-05,2014-11-05,2014-11-05,ARV,Adult,PHARMACY DIRECT,"Didanosine 400mg, delayed-release capsules, 30 Caps",Didanosine,Generic,400mg,Delayed-release capsules,30,7,137.73,19.68,0.66,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,0.14,189 days 00:00:00.000000000
4085,SCMS-189030,Guyana,PMO - US,Direct Drop,EXW,Air,2013-04-15,5/23/2013,2013-07-01,2013-07-01,2013-07-01,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 100mg, capsules, 100 Caps",Zidovudine,Generic,100mg,Capsule,100,118,542.8,4.6,0.05,"Aurobindo Unit III, India",Yes,16.0,693.16,0.67,77 days 00:00:00.000000000
4086,SCMS-97852,Vietnam,PMO - US,Direct Drop,EXW,Air,2011-01-17,2/15/2011,2011-07-27,2011-07-27,2011-07-27,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,8388,54522.0,6.5,0.22,Mylan (formerly Matrix) Nashik,Yes,544.0,9141.18,89.96,191 days 00:00:00.000000000
4088,SCMS-104100,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-03-10,3/28/2011,2012-01-12,2012-01-27,2012-01-27,ARV,Adult,CIPLA LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,96770,263214.4,2.72,0.05,"Cipla, Goa, India",Yes,10536.0,4957.81,434.3,323 days 00:00:00.000000000
4089,SCMS-215370,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-10-08,12/2/2013,2014-02-06,2014-02-06,2014-02-06,ARV,Pediatric,S. BUYS WHOLESALER,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,78,522.23,6.7,0.03,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,0.65,121 days 00:00:00.000000000
4090,SCMS-210480,Haiti,PMO - US,Direct Drop,EXW,Ocean,2013-08-21,10/24/2013,2014-05-09,2014-05-09,2014-05-12,ARV,Adult,CIPLA LIMITED,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,4176,19209.6,4.6,0.15,"Cipla, Kurkumbh, India",Yes,426.0,2251.94,23.76,261 days 00:00:00.000000000
4091,SCMS-164580,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-10-15,11/7/2012,2013-04-03,2013-04-03,2013-04-03,ARV,Adult,HETERO LABS LIMITED,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,418,2403.5,5.75,0.1,Hetero Unit III Hyderabad IN,Yes,1089.0,2006.63,2.97,170 days 00:00:00.000000000
4092,SCMS-289480,Haiti,PMO - US,Direct Drop,EXW,Air,2015-05-05,5/29/2015,2015-07-02,2015-07-02,2015-07-06,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,2303,2878.75,1.25,0.04,"Aurobindo Unit III, India",Yes,143.0,2251.42,3.39,58 days 00:00:00.000000000
4093,SCMS-58230,Uganda,PMO - US,Direct Drop,FCA,Air,2009-11-25,12/2/2009,2010-03-10,2010-03-10,2010-03-10,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,21,805.56,38.36,0.11,ABBVIE (Abbott) Logis. UK,Yes,58.0,776.62,1.58,105 days 00:00:00.000000000
4094,SCMS-162720,Uganda,PMO - US,Direct Drop,CIP,Air,2012-10-10,10/25/2012,2013-04-11,2013-04-11,2013-04-11,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,786,43623.0,55.5,0.92,"MSD, Haarlem, NL",Yes,79.0,2158.88,53.96,183 days 00:00:00.000000000
4095,SCMS-68950,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,3/19/2010,2010-06-09,2010-07-07,2010-07-07,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,38400,112128.0,2.92,0.05,"Aurobindo Unit III, India",Yes,4528.0,6369.79,241.75,111 days 00:00:00.000000000
4096,SCMS-204300,Cameroon,PMO - US,Direct Drop,EXW,Air,2013-08-19,8/23/2013,2013-10-18,2013-10-18,2013-10-18,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,38976,87696.0,2.25,0.04,"Aurobindo Unit III, India",Yes,4117.0,35943.58,108.48,60 days 00:00:00.000000000
4099,SCMS-259075,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,5/11/2015,2015-05-12,2015-05-12,2015-05-12,ARV,Adult,PHARMACY DIRECT,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,56,369.98,6.61,0.11,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,0.38,243 days 00:00:00.000000000
4101,SCMS-176230,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-01-29,2/5/2013,2013-06-21,2013-06-21,2013-06-21,ARV,Adult,MICRO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,7882,25458.86,3.23,0.11,"Micro labs, Verna, Goa, India",Yes,472.0,6969.97,31.49,143 days 00:00:00.000000000
4104,SCMS-288890,Haiti,PMO - US,Direct Drop,EXW,Ocean,2015-05-05,5/27/2015,2015-08-13,2015-08-13,2015-08-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,55536,449841.6,8.1,0.13,"Hetero, Jadcherla, unit 5, IN",Yes,4306.83476898982,11462.107118413907,529.46,100 days 00:00:00.000000000
4105,SCMS-164560,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-10-15,11/7/2012,2013-03-13,2013-03-13,2013-03-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,16611,190860.39,11.49,0.38,Mylan (formerly Matrix) Nashik,No,4306.83476898982,11462.107118413907,236.09,149 days 00:00:00.000000000
4107,SCMS-277330,Vietnam,PMO - US,Direct Drop,FCA,Air,2015-02-13,3/4/2015,2015-08-13,2015-08-13,2015-08-13,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Ritonavir,Norvir,100mg,Tablet,30,100,2326.0,23.26,0.78,ABBVIE Ludwigshafen Germany,Yes,4306.83476898982,11462.107118413907,2.74,181 days 00:00:00.000000000
4108,SCMS-71490,South Africa,PMO - US,Direct Drop,DDP,Truck,2010-04-19,4/21/2010,2010-06-11,2010-06-11,2010-06-11,ARV,Adult,S. BUYS WHOLESALER,"Ritonavir 100mg [Norvir], capsules, cool, 84 Caps",Ritonavir,Norvir,100mg,Capsule,84,30,330.11,11.0,0.13,ABBVIE (Abbott) Logis. UK,No,4306.83476898982,11462.107118413907,0.71,53 days 00:00:00.000000000
4109,SCMS-64480,Rwanda,PMO - US,Direct Drop,CIP,Air,2010-01-29,2/9/2010,2010-07-13,2010-07-13,2010-07-13,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 250mg, delayed-release capsules, 30 Caps",Didanosine,Generic,250mg,Delayed-release capsules,30,599,7966.7,13.3,0.44,"Aurobindo Unit III, India",Yes,41.0,717.0,17.18,165 days 00:00:00.000000000
4111,SCMS-199289,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,8/29/2014,2014-08-29,2014-08-29,2014-08-29,ARV,Adult,S. BUYS WHOLESALER,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,118,8980.79,76.11,1.27,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,11.11,414 days 00:00:00.000000000
4112,SCMS-253440,Namibia,PMO - US,Direct Drop,EXW,Air,2014-07-30,8/29/2014,2014-11-19,2014-11-19,2014-11-19,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,33696,279339.84,8.29,0.14,"Hetero, Jadcherla, unit 5, IN",Yes,4262.0,27262.44,287.16,112 days 00:00:00.000000000
4114,SCMS-261120,Haiti,PMO - US,Direct Drop,EXW,Air,2014-09-24,11/14/2014,2015-03-27,2015-03-27,2015-03-30,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,24992,202435.2,8.1,0.13,Mylan (formerly Matrix) Nashik,Yes,3458.0,19839.26,208.1,184 days 00:00:00.000000000
4115,SCMS-240130,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-05-11,6/2/2014,2015-01-09,2015-01-09,2015-01-12,ARV,Adult,MICRO LABS LIMITED,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,960,1651.2,1.72,0.03,"Micro labs, Verna, Goa, India",Yes,8385.0,12336.45,1.7,243 days 00:00:00.000000000
4117,SCMS-104200,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-03-11,3/30/2011,2011-09-24,2011-09-24,2011-09-24,ARV,Pediatric,GLAXOSMITHKLINE EXPORT LIMITED,"Abacavir 20mg/ml [Ziagen], oral solution, Bottle, 240 ml",Abacavir,Ziagen,20mg/ml,Oral solution,240,20000,185600.0,9.28,0.04,GSK Mississauga (Canada),Yes,7683.0,7073.56,306.24,197 days 00:00:00.000000000
4118,SCMS-104040,Nigeria,PMO - US,Direct Drop,EXW,Air,2011-03-09,3/25/2011,2011-04-18,2011-04-18,2011-04-18,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,4000,7800.0,1.95,0.01,"Aurobindo Unit III, India",Yes,1573.0,9316.91,12.87,40 days 00:00:00.000000000
4125,SCMS-69590,South Africa,PMO - US,Direct Drop,DDP,Truck,2010-03-23,3/25/2010,2010-04-01,2010-04-01,2010-04-01,ARV,Adult,S. BUYS WHOLESALER,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,240,11495.46,47.9,1.6,"Aspen-OSD, Port Elizabeth, SA",Yes,4306.83476898982,11462.107118413907,24.78,9 days 00:00:00.000000000
4126,SCMS-83880,South Africa,PMO - US,Direct Drop,DDP,Air,2010-08-31,9/21/2010,2011-03-07,2011-03-07,2011-03-07,ARV,Pediatric,ASPEN PHARMACARE,"Abacavir 20mg/ml [Ziagen], oral solution, Bottle, 240 ml",Abacavir,Ziagen,20mg/ml,Oral solution,240,40000,400800.0,10.02,0.04,GSK Mississauga (Canada),Yes,4306.83476898982,11770.87,864.12,188 days 00:00:00.000000000
4127,SCMS-259079,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,10/9/2014,2015-08-24,2015-08-24,2015-08-24,ARV,Adult,PHARMACY DIRECT,"Didanosine 400mg, delayed-release capsules, 30 Caps",Didanosine,Generic,400mg,Delayed-release capsules,30,9,137.45,15.27,0.51,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,0.14,347 days 00:00:00.000000000
4131,SCMS-199289,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,8/29/2014,2014-08-29,2014-08-29,2014-08-29,ARV,Pediatric,S. BUYS WHOLESALER,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,31,244.58,7.89,0.03,"Aurobindo Unit III, India",No,4306.83476898982,11462.107118413907,0.3,414 days 00:00:00.000000000
4132,SCMS-64941,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,2009-12-28,2/12/2010,2011-01-28,2011-01-28,2011-01-28,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Indinavir 400mg [Crixivan], capsules, 180 Caps",Indinavir,Crixivan,400mg,Capsule,180,1015,50750.0,50.0,0.28,"MSD, Haarlem, NL",Yes,257.0,1167.97,109.42,396 days 00:00:00.000000000
4133,SCMS-83770,South Africa,PMO - US,Direct Drop,DDP,Ocean,2010-08-31,9/24/2010,2011-04-26,2011-06-08,2011-06-08,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,20060,90871.8,4.53,0.15,"Aurobindo Unit III, India",Yes,1726.0,35753.93,195.92,281 days 00:00:00.000000000
4134,SCMS-83790,South Africa,PMO - US,Direct Drop,DDP,Ocean,2010-08-31,9/24/2010,2011-02-01,2011-02-01,2011-02-01,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,19271,192324.58,9.98,0.11,"Aurobindo Unit III, India",Yes,2555.0,2347.77,414.65,154 days 00:00:00.000000000
