Brand,Client.Delivery.Date,Country,Dosage,Dosage.Form,Fulfill.Via,INCO,Manufacture.Site,Molecule.Type,PO.Vendor.Date.Group,PO/SO#,PQ#,PQ.Client.Date.Group,Product.Group,Rec.Delivery.Data,Sch.Delivery.Date,Shipment.Mode,Sub.Classification,Vendor.Name,Freight.Cost,Item.Throuhput,Line.Item.Insurance,Line.Item.Qty,Line.Item.Value,Pack.Price,Unit.Measure.Per.Pack,Unit.Price,Weight.KG
Generic,1/15/2008,Côte d'Ivoire,10mg/ml,Oral suspension,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-1144,Pre.PQ,Pre-PQ Process,ARV,1/15/2008,12/28/2007,Air,Pediatric,SCMS,6146,23.254166667,17.14,5581,10715.52,1.92,240,0.01,1988
Generic,2/1/2008,Ethiopia,150mg,Tablet,From RDC,N/A - From RDC,Ranbaxy,Lamivudine,N/A - From RDC,SO-1536,Pre.PQ,Pre-PQ Process,ARV,2/1/2008,2/1/2008,Air,Adult,SCMS,9187.8,811.183333333,236.74,48671,147959.84,3.04,60,0.05,2533
Generic,3/11/2008,Uganda,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-1304,Pre.PQ,Pre-PQ Process,ARV,3/11/2008,3/11/2008,Air,Adult,SCMS,1902.9,112.133333333,66.85,3364,41780.88,12.42,30,0.41,369
Generic,1/29/2008,Ethiopia,200mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-1528,Pre.PQ,Pre-PQ Process,ARV,1/29/2008,1/29/2008,Air,Adult,SCMS,17975.21,926,302.25,55560,188904,3.4,60,0.06,5181
Viread,4/18/2008,Nigeria,300mg,Tablet,From RDC,N/A - From RDC,Gilead,Tenofovir Disoproxil Fumarate,N/A - From RDC,SO-2351,Pre.PQ,Pre-PQ Process,ARV,4/18/2008,4/18/2008,Air,Adult,SCMS,2812.3,3.633333333,2.96,109,1853,17,30,0.57,422
Aluvia,6/18/2008,Haiti,200/50mg,Tablet,From RDC,N/A - From RDC,ABBVIE,Lopinavir/Ritonavir,N/A - From RDC,SO-2596,Pre.PQ,Pre-PQ Process,ARV,6/18/2008,6/18/2008,Air,Adult,SCMS,1422.32,2,15.78,240,9864,41.1,120,0.34,52
Truvada,5/14/2008,Nigeria,300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aspen,Emtricitabine/Tenofovir Disoproxil Fumarate,N/A - From RDC,SO-2578,Pre.PQ,Pre-PQ Process,ARV,5/14/2008,5/14/2008,Air,Adult,SCMS,2204,111.966666667,141.08,3359,88173.75,26.25,30,0.88,300
Truvada,5/20/2008,Nigeria,300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aspen,Emtricitabine/Tenofovir Disoproxil Fumarate,N/A - From RDC,SO-2579,Pre.PQ,Pre-PQ Process,ARV,5/20/2008,5/20/2008,Air,Adult,SCMS,1110.5,21.366666667,26.92,641,16826.25,26.25,30,0.88,58
Generic,5/29/2008,Zambia,200mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-2475,Pre.PQ,Pre-PQ Process,ARV,5/29/2008,5/29/2008,Air,Adult,SCMS,6002.19,833.333333333,272,50000,170000,3.4,60,0.06,4733
Generic,5/27/2008,Nigeria,150/300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Nevirapine/Zidovudine,N/A - From RDC,SO-2664,Pre.PQ,Pre-PQ Process,ARV,5/27/2008,5/27/2008,Air,Adult,SCMS,11815.12,276.833333333,352.93,16610,220580.8,13.28,60,0.22,1832
Generic,6/11/2008,Zimbabwe,150/200/30mg,Tablet - FDC,From RDC,N/A - From RDC,Cipla,Lamivudine/Nevirapine/Stavudine,N/A - From RDC,SO-2667,Pre.PQ,Pre-PQ Process,ARV,6/11/2008,6/11/2008,Air,Adult,SCMS,45047.32,620.666666667,440.92,37240,275576,7.4,60,0.12,7806
Generic,6/17/2008,Zambia,200mg,Tablet,From RDC,N/A - From RDC,Hetero,Nevirapine,N/A - From RDC,SO-2488,Pre.PQ,Pre-PQ Process,ARV,6/17/2008,6/17/2008,Truck,Adult,SCMS,4217.45,926,302.25,55560,188904,3.4,60,0.06,3224
Norvir,3/31/2008,Mozambique,100mg,Capsule,From RDC,N/A - From RDC,ABBVIE,Ritonavir,N/A - From RDC,SO-1824,Pre.PQ,Pre-PQ Process,ARV,3/31/2008,3/31/2008,Air,Adult,SCMS,1214.2,7.5,9.67,630,6041.7,9.59,84,0.11,185
Generic,6/27/2008,Nigeria,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-2708,Pre.PQ,Pre-PQ Process,ARV,6/27/2008,6/27/2008,Air,Adult,SCMS,9906.63,833.333333333,480.4,25000,300250,12.01,30,0.4,2173
Generic,4/23/2008,Tanzania,100mg,Chewable/dispersible tablet,From RDC,N/A - From RDC,Aurobindo,Didanosine,N/A - From RDC,SO-1943,Pre.PQ,Pre-PQ Process,ARV,4/23/2008,4/23/2008,Air,Pediatric,SCMS,8381.22,194,144.34,11640,90210,7.75,60,0.13,2427
Stocrin/Sustiva,4/8/2008,Côte d'Ivoire,30mg/ml,Oral solution,From RDC,N/A - From RDC,MSD,Efavirenz,N/A - From RDC,SO-2043,Pre.PQ,Pre-PQ Process,ARV,4/8/2008,4/8/2008,Air,Pediatric,SCMS,1996.68,8.35,40.79,1503,25490.88,16.96,180,0.09,608
Generic,3/4/2008,Haiti,150mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Lamivudine,N/A - From RDC,SO-1287,Pre.PQ,Pre-PQ Process,ARV,3/4/2008,3/4/2008,Air,Adult,SCMS,2504.44,47.85,13.96,2871,8727.84,3.04,60,0.05,144
Invirase,4/17/2008,Côte d'Ivoire,200mg,Capsule,From RDC,N/A - From RDC,Roche,Saquinavir,N/A - From RDC,SO-1547,Pre.PQ,Pre-PQ Process,ARV,4/17/2008,4/17/2008,Air,Adult,SCMS,1765.4,3.618518519,122.93,977,76831.28,78.64,270,0.29,490
Generic,4/23/2008,Tanzania,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-1999,Pre.PQ,Pre-PQ Process,ARV,4/23/2008,4/23/2008,Air,Adult,SCMS,6195.24,615.033333333,366.66,18451,229161.42,12.42,30,0.41,1636
Generic,3/12/2008,Zimbabwe,300mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Zidovudine,N/A - From RDC,SO-1922,Pre.PQ,Pre-PQ Process,ARV,3/12/2008,3/12/2008,Truck,Adult,SCMS,1746.3,8.75,6.85,525,4278.75,8.15,60,0.14,395
Generic,5/9/2008,Nigeria,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-2500,Pre.PQ,Pre-PQ Process,ARV,5/9/2008,5/9/2008,Air,Adult,SCMS,1651.16,34.366666667,19.81,1031,12382.31,12.01,30,0.4,236
Generic,6/3/2008,Nigeria,10mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Lamivudine,N/A - From RDC,SO-2731,Pre.PQ,Pre-PQ Process,ARV,6/3/2008,6/3/2008,Truck,Pediatric,SCMS,1988.9,4.166666667,3.07,1000,1920,1.92,240,0.01,346
Generic,9/9/2008,Haiti,10mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Zidovudine,N/A - From RDC,SO-12161,Pre.PQ,Pre-PQ Process,ARV,9/9/2008,9/9/2008,Air,Pediatric,SCMS,7100.67,6,4.84,1440,3024,2.1,240,0.01,538
Stocrin/Sustiva,8/7/2008,Haiti,30mg/ml,Oral solution,From RDC,N/A - From RDC,MSD,Efavirenz,N/A - From RDC,SO-12150,Pre.PQ,Pre-PQ Process,ARV,8/7/2008,8/7/2008,Air,Pediatric,SCMS,8762.02,0.833333333,4.07,150,2544,16.96,180,0.09,702
Generic,8/18/2008,Nigeria,30mg,Capsule,From RDC,N/A - From RDC,Aurobindo,Stavudine,N/A - From RDC,SO-10770,Pre.PQ,Pre-PQ Process,ARV,8/18/2008,8/18/2008,Air,Adult,SCMS,9185.15,223,33.18,13380,20739,1.55,60,0.03,925
Generic,8/31/2008,Nigeria,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Mylan,Lamivudine/Zidovudine,N/A - From RDC,SO-2727,Pre.PQ,Pre-PQ Process,ARV,8/31/2008,8/31/2008,Air,Adult,SCMS,1151.48,16.683333333,14.97,1001,9359.35,9.35,60,0.16,82
Generic,9/28/2008,Nigeria,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-2707,Pre.PQ,Pre-PQ Process,ARV,9/28/2008,9/28/2008,Air,Adult,SCMS,13353.34,833.333333333,480.4,25000,300250,12.01,30,0.4,6124
Generic,10/10/2008,Haiti,10mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Zidovudine,N/A - From RDC,SO-12162,Pre.PQ,Pre-PQ Process,ARV,10/10/2008,10/10/2008,Air,Pediatric,SCMS,11836.61,10.8875,8.78,2613,5487.3,2.1,240,0.01,979
Generic,12/1/2008,Zambia,200mg,Tablet,From RDC,N/A - From RDC,Hetero,Nevirapine,N/A - From RDC,SO-16670,Pre.PQ,Pre-PQ Process,ARV,12/1/2008,12/1/2008,Truck,Adult,SCMS,3629.37,349.816666667,139.87,20989,71362.6,3.4,60,0.06,1162
Generic,11/5/2008,Rwanda,200mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-17220,Pre.PQ,Pre-PQ Process,ARV,11/5/2008,11/5/2008,Truck,Adult,SCMS,3754.14,78.383333333,29.5,4703,15049.6,3.2,60,0.05,455
Generic,2/14/2009,Côte d'Ivoire,300mg,Tablet,From RDC,N/A - From RDC,Mylan,Abacavir,N/A - From RDC,SO-16222,Pre.PQ,Pre-PQ Process,ARV,2/14/2009,2/14/2009,Air,Adult,SCMS,5110.42,50,150.41,3000,76740,25.58,60,0.43,187
Generic,2/6/2009,Rwanda,150mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Lamivudine,N/A - From RDC,SO-23000,Pre.PQ,Pre-PQ Process,ARV,2/6/2009,2/6/2009,Air,Adult,SCMS,5029.05,175.5,50.36,10530,25693.2,2.44,60,0.04,544
Generic,3/2/2009,Côte d'Ivoire,1mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Stavudine,N/A - From RDC,SO-16221,Pre.PQ,Pre-PQ Process,ARV,3/2/2009,3/2/2009,Air,Pediatric,SCMS,1297.57,6,3.29,1200,1680,1.4,200,0.01,115
Truvada,3/24/2009,Nigeria,300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aspen,Emtricitabine/Tenofovir Disoproxil Fumarate,N/A - From RDC,SO-21782,Pre.PQ,Pre-PQ Process,ARV,3/24/2009,3/24/2009,Air,Adult,SCMS,6443.63,1255.533333333,1937.92,37666,988732.5,26.25,30,0.88,3273
Generic,3/10/2009,Haiti,300mg,Tablet,From RDC,N/A - From RDC,Mylan,Abacavir,N/A - From RDC,SO-23790,Pre.PQ,Pre-PQ Process,ARV,3/10/2009,3/10/2009,Air,Adult,SCMS,1432.88,7.5,22.45,450,11452.5,25.45,60,0.42,47
Generic,7/24/2008,Nigeria,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-10750,Pre.PQ,Pre-PQ Process,ARV,7/24/2008,7/24/2008,Air,Adult,SCMS,4099.51,140,78.76,4200,49224,11.72,30,0.39,621
Generic,8/29/2008,Tanzania,150/200/30mg,Tablet - FDC,From RDC,N/A - From RDC,Cipla,Lamivudine/Nevirapine/Stavudine,N/A - From RDC,SO-2565,Pre.PQ,Pre-PQ Process,ARV,8/29/2008,8/29/2008,Air,Adult,SCMS,36855.6,33.516666667,23.81,2011,14881.4,7.4,60,0.12,6650
Generic,10/30/2008,Nigeria,30mg,Capsule,From RDC,N/A - From RDC,Aurobindo,Stavudine,N/A - From RDC,SO-2554,Pre.PQ,Pre-PQ Process,ARV,10/30/2008,10/30/2008,Air,Adult,SCMS,18617.93,131.266666667,23.46,7876,11971.52,1.52,60,0.03,5588
Truvada,11/25/2008,Zambia,300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aspen,Emtricitabine/Tenofovir Disoproxil Fumarate,N/A - From RDC,SO-2543,Pre.PQ,Pre-PQ Process,ARV,11/25/2008,11/25/2008,Truck,Adult,SCMS,11519.94,3333.333333333,5145,100000,2625000,26.25,30,0.88,88190
Generic,1/5/2009,Côte d'Ivoire,150/200/30mg,Tablet - FDC,From RDC,N/A - From RDC,Cipla,Lamivudine/Nevirapine/Stavudine,N/A - From RDC,SO-16190,Pre.PQ,Pre-PQ Process,ARV,1/5/2009,1/5/2009,Air,Adult,SCMS,19495.73,321.5,272.22,19290,138888,7.2,60,0.12,2096
Generic,3/5/2009,Côte d'Ivoire,1mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Stavudine,N/A - From RDC,SO-16223,Pre.PQ,Pre-PQ Process,ARV,3/5/2009,3/5/2009,Air,Pediatric,SCMS,1286,4,2.2,800,1120,1.4,200,0.01,77
Generic,10/6/2008,Zambia,600mg,Tablet,From RDC,N/A - From RDC,Mylan,Efavirenz,N/A - From RDC,SO-1897,Pre.PQ,Pre-PQ Process,ARV,10/6/2008,10/6/2008,Air,Adult,SCMS,8539.26,696,401.23,20880,250768.8,12.01,30,0.4,1603
Generic,3/19/2009,Nigeria,150/300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Nevirapine/Zidovudine,N/A - From RDC,SO-21800,Pre.PQ,Pre-PQ Process,ARV,3/19/2009,3/19/2009,Air Charter,Adult,SCMS,11492.86,1065.666666667,1428.68,63940,728916,11.4,60,0.19,7189
Generic,3/19/2009,Nigeria,150/300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Nevirapine/Zidovudine,N/A - From RDC,SO-21808,Pre.PQ,Pre-PQ Process,ARV,3/19/2009,3/19/2009,Air Charter,Adult,SCMS,22985.73,71.9,96.39,4314,49179.6,11.4,60,0.19,485
Generic,5/12/2009,Côte d'Ivoire,20mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Abacavir,N/A - From RDC,SO-21882,Pre.PQ,Pre-PQ Process,ARV,5/12/2009,5/12/2009,Air,Pediatric,SCMS,1328.03,1.466666667,10.35,352,5280,15,240,0.06,125
Generic,4/14/2009,Haiti,20mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Abacavir,N/A - From RDC,SO-24831,Pre.PQ,Pre-PQ Process,ARV,4/14/2009,4/14/2009,Air,Pediatric,SCMS,1763.84,1.141666667,8.06,274,4110,15,240,0.06,98
Generic,6/8/2009,Mozambique,150/300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Mylan,Lamivudine/Nevirapine/Zidovudine,N/A - From RDC,SO-25020,Pre.PQ,Pre-PQ Process,ARV,6/8/2009,6/8/2009,Air,Adult,SCMS,6759.55,180.133333333,249.97,10808,127534.4,11.8,60,0.2,1320
Truvada,4/30/2009,Nigeria,300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aspen,Emtricitabine/Tenofovir Disoproxil Fumarate,N/A - From RDC,SO-22522,Pre.PQ,Pre-PQ Process,ARV,4/30/2009,4/30/2009,Air,Adult,SCMS,2922.53,68.9,106.35,2067,54258.75,26.25,30,0.88,235
Generic,6/11/2009,Côte d'Ivoire,200mg,Capsule,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-27520,Pre.PQ,Pre-PQ Process,ARV,6/11/2009,6/11/2009,Air,Pediatric,SCMS,9936.96,18.666666667,50.25,1680,25636.8,15.26,90,0.17,3337
Crixivan,5/20/2009,Mozambique,400mg,Capsule,From RDC,N/A - From RDC,MSD,Indinavir,N/A - From RDC,SO-17530,Pre.PQ,Pre-PQ Process,ARV,5/20/2009,5/20/2009,Air,Adult,SCMS,1943.05,3.422222222,60.37,616,30800,50,180,0.28,227
Generic,6/10/2009,Zambia,600mg,Tablet,From RDC,N/A - From RDC,Hetero,Efavirenz,N/A - From RDC,SO-17630,Pre.PQ,Pre-PQ Process,ARV,6/10/2009,6/10/2009,Truck,Adult,SCMS,10069.54,3333.333333333,2156,100000,1100000,11,30,0.37,7736
Generic,6/25/2009,Haiti,200mg,Tablet,From RDC,N/A - From RDC,Hetero,Nevirapine,N/A - From RDC,SO-24851,Pre.PQ,Pre-PQ Process,ARV,6/25/2009,6/25/2009,Air,Adult,SCMS,12448.02,312.5,110.25,18750,56250,3,60,0.05,111
Generic,3/29/2007,Zambia,300mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Abacavir,N/A - From RDC,SO-229,Pre.PQ,Pre-PQ Process,ARV,3/29/2007,3/29/2007,Air,Adult,SCMS,7441.23,55.566666667,45.57,3334,118357,35.5,60,0.59,161
Generic,5/4/2007,Côte d'Ivoire,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-390,Pre.PQ,Pre-PQ Process,ARV,5/4/2007,5/4/2007,Air,Adult,SCMS,3002,333.333333333,45.57,10000,162500,16.25,30,0.54,898
Generic,4/30/2007,Côte d'Ivoire,150/200/30mg,Tablet - FDC,From RDC,N/A - From RDC,Cipla,Lamivudine/Nevirapine/Stavudine,N/A - From RDC,SO-437,Pre.PQ,Pre-PQ Process,ARV,4/30/2007,4/30/2007,Air,Adult,SCMS,3162,150,45.57,9000,67500,7.5,60,0.12,972
Generic,5/4/2007,Côte d'Ivoire,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Zidovudine,N/A - From RDC,SO-411,Pre.PQ,Pre-PQ Process,ARV,5/4/2007,5/4/2007,Air,Adult,SCMS,1470,16.666666667,45.57,1000,10250,10.25,60,0.17,114
Viread,4/30/2007,Côte d'Ivoire,300mg,Tablet,From RDC,N/A - From RDC,Gilead,Tenofovir Disoproxil Fumarate,N/A - From RDC,SO-285,Pre.PQ,Pre-PQ Process,ARV,4/30/2007,4/30/2007,Air,Adult,SCMS,2527,15.2,45.57,456,7752,17,30,0.57,682
Generic,4/30/2007,Côte d'Ivoire,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-431,Pre.PQ,Pre-PQ Process,ARV,4/30/2007,4/30/2007,Air,Adult,SCMS,2656,271.6,45.57,8148,132405,16.25,30,0.54,741
Trizivir,7/4/2007,Mozambique,300/150/300mg,Tablet - FDC,From RDC,N/A - From RDC,GSK,Abacavir/Lamivudine/Zidovudine,N/A - From RDC,SO-379,Pre.PQ,Pre-PQ Process,ARV,7/4/2007,7/4/2007,Air,Adult,SCMS,439.17,16.983333333,45.57,1019,71330,70,60,1.17,138
Aluvia,7/11/2007,Mozambique,200/50mg,Tablet,From RDC,N/A - From RDC,ABBVIE,Lopinavir/Ritonavir,N/A - From RDC,SO-578,Pre.PQ,Pre-PQ Process,ARV,7/11/2007,7/11/2007,Air,Adult,SCMS,630.23,6.675,45.57,801,32921.1,41.1,120,0.34,333
Generic,6/26/2007,Nigeria,150/200/40mg,Tablet - FDC,From RDC,N/A - From RDC,Cipla,Lamivudine/Nevirapine/Stavudine,N/A - From RDC,SO-636,Pre.PQ,Pre-PQ Process,ARV,6/26/2007,6/26/2007,Air,Adult,SCMS,1339.8,15.05,11.12,903,6953.1,7.7,60,0.13,57
Generic,5/20/2007,Zimbabwe,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-415,Pre.PQ,Pre-PQ Process,ARV,5/20/2007,5/20/2007,Air,Adult,SCMS,1130.49,93.333333333,45.57,2800,45528,16.26,30,0.54,246
Generic,6/20/2007,Zambia,20mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Abacavir,N/A - From RDC,SO-313,Pre.PQ,Pre-PQ Process,ARV,6/20/2007,6/20/2007,Air,Pediatric,SCMS,759.41,0.9875,8.15,237,5095.5,21.5,240,0.09,85
Generic,8/14/2007,Côte d'Ivoire,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Zidovudine,N/A - From RDC,SO-524,Pre.PQ,Pre-PQ Process,ARV,8/14/2007,8/14/2007,Air,Adult,SCMS,7947,123.766666667,126.9,7426,79309.68,10.68,60,0.18,3073
Generic,7/16/2007,Zambia,200mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-464,Pre.PQ,Pre-PQ Process,ARV,7/16/2007,7/16/2007,Air,Adult,SCMS,30412.53,1317.15,451.41,79029,282133.53,3.57,60,0.06,7393
Generic,8/21/2007,Côte d'Ivoire,15mg,Capsule,From RDC,N/A - From RDC,Aurobindo,Stavudine,N/A - From RDC,SO-774,Pre.PQ,Pre-PQ Process,ARV,8/21/2007,8/21/2007,Air,Adult,SCMS,4200.78,19.35,3.99,1161,2496.15,2.15,60,0.04,399
Crixivan,8/6/2007,Rwanda,400mg,Capsule,From RDC,N/A - From RDC,MSD,Indinavir,N/A - From RDC,SO-814,Pre.PQ,Pre-PQ Process,ARV,8/6/2007,8/6/2007,Air,Adult,SCMS,1161,0.622222222,8.96,112,5600,50,180,0.28,24
Generic,8/29/2007,Tanzania,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Zidovudine,N/A - From RDC,SO-457,Pre.PQ,Pre-PQ Process,ARV,8/29/2007,8/29/2007,Air,Adult,SCMS,7533,491.483333333,503.91,29489,314942.52,10.68,60,0.18,2670
Generic,9/7/2007,Zambia,20mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Abacavir,N/A - From RDC,SO-822,Pre.PQ,Pre-PQ Process,ARV,9/7/2007,9/7/2007,Air,Pediatric,SCMS,1886.39,4.166666667,26.4,1000,16500,16.5,240,0.07,355
Generic,11/7/2007,Guyana,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Zidovudine,N/A - From RDC,SO-1233,Pre.PQ,Pre-PQ Process,ARV,11/7/2007,11/7/2007,Air,Adult,SCMS,4807,30.8,28.09,1848,17556,9.5,60,0.16,402
Generic,12/12/2007,Zambia,200mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-1314,Pre.PQ,Pre-PQ Process,ARV,12/12/2007,12/12/2007,Air,Adult,SCMS,15671.53,1007.333333333,328.79,60440,205496,3.4,60,0.06,5725
Generic,12/20/2007,Ethiopia,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Zidovudine,N/A - From RDC,SO-1524,Pre.PQ,Pre-PQ Process,ARV,12/20/2007,12/20/2007,Air,Adult,SCMS,892,29.95,27.31,1797,17071.5,9.5,60,0.16,170
Generic,12/20/2007,Ethiopia,200mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-1530,Pre.PQ,Pre-PQ Process,ARV,12/20/2007,12/20/2007,Air,Adult,SCMS,1318,20.916666667,6.83,1255,4267,3.4,60,0.06,120
Generic,12/7/2007,Zimbabwe,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Zidovudine,N/A - From RDC,SO-899,Pre.PQ,Pre-PQ Process,ARV,12/7/2007,12/7/2007,Truck,Adult,SCMS,1671.84,26,23.71,1560,14820,9.5,60,0.16,147
Generic,2/14/2008,Zambia,300mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Abacavir,N/A - From RDC,SO-1489,Pre.PQ,Pre-PQ Process,ARV,2/14/2008,2/14/2008,Air,Adult,SCMS,3303.52,137.516666667,363.44,8251,227150.03,27.53,60,0.46,822
Generic,1/25/2008,Zambia,10mg/ml,Oral suspension,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-1188,Pre.PQ,Pre-PQ Process,ARV,1/25/2008,1/25/2008,Air,Pediatric,SCMS,1778.7,4.183333333,9.96,1004,6224.8,6.2,240,0.03,358
Generic,2/13/2008,Namibia,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-1676,Pre.PQ,Pre-PQ Process,ARV,2/13/2008,2/13/2008,Air,Adult,SCMS,3016.95,633.333333333,365.1,19000,228190,12.01,30,0.4,1485
Generic,7/16/2008,Haiti,200mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Nevirapine,N/A - From RDC,SO-2753,Pre.PQ,Pre-PQ Process,ARV,7/16/2008,7/16/2008,Air,Adult,SCMS,1651,17.616666667,5.75,1057,3593.8,3.4,60,0.06,100
Generic,2/14/2008,Nigeria,30mg,Capsule,From RDC,N/A - From RDC,Aurobindo,Stavudine,N/A - From RDC,SO-1571,Pre.PQ,Pre-PQ Process,ARV,2/14/2008,2/14/2008,Air,Adult,SCMS,2722.38,7.45,1.09,447,679.44,1.52,60,0.03,1054
Generic,4/1/2008,Tanzania,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-1941,Pre.PQ,Pre-PQ Process,ARV,4/1/2008,4/1/2008,Air,Adult,SCMS,10288.1,1099.9,655.72,32997,409822.74,12.42,30,0.41,2867
Generic,5/9/2008,Zambia,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Zidovudine,N/A - From RDC,SO-1889,Pre.PQ,Pre-PQ Process,ARV,5/9/2008,5/9/2008,Air,Adult,SCMS,2347.91,833.333333333,756,50000,472500,9.45,60,0.16,4655
Generic,6/2/2008,Uganda,600mg,Tablet,From RDC,N/A - From RDC,Aurobindo,Efavirenz,N/A - From RDC,SO-2342,Pre.PQ,Pre-PQ Process,ARV,6/2/2008,6/2/2008,Air,Adult,SCMS,675,28.666666667,16.53,860,10328.6,12.01,30,0.4,76
Generic,8/4/2008,Uganda,150/300/200mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Nevirapine/Zidovudine,N/A - From RDC,SO-2675,Pre.PQ,Pre-PQ Process,ARV,8/4/2008,8/4/2008,Air,Adult,SCMS,3182.52,121.6,155.03,7296,96890.88,13.28,60,0.22,824
Generic,3/17/2008,Zambia,10mg/ml,Oral solution,From RDC,N/A - From RDC,Aurobindo,Lamivudine,N/A - From RDC,SO-979,Pre.PQ,Pre-PQ Process,ARV,3/17/2008,3/17/2008,Air,Pediatric,SCMS,37199.06,127.345833333,96.33,30563,60209.11,1.97,240,0.01,10621
Generic,8/1/2008,Haiti,150/300mg,Tablet - FDC,From RDC,N/A - From RDC,Aurobindo,Lamivudine/Zidovudine,N/A - From RDC,SO-2595,Pre.PQ,Pre-PQ Process,ARV,8/1/2008,8/1/2008,Air,Adult,SCMS,11572,279.2,253.29,16752,158306.4,9.45,60,0.16,1580
Generic,8/3/2008,Nigeria,30mg,Capsule,From RDC,N/A - From RDC,Aurobindo,Stavudine,N/A - From RDC,SO-10030,Pre.PQ,Pre-PQ Process,ARV,8/3/2008,8/3/2008,Air,Adult,SCMS,10575.63,14.166666667,2.11,850,1317.5,1.55,60,0.03,555
Kaletra,6/19/2008,Zambia,80/20mg/ml,Oral solution,From RDC,N/A - From RDC,ABBVIE,Lopinavir/Ritonavir,N/A - From RDC,SO-1884,Pre.PQ,Pre-PQ Process,ARV,6/19/2008,6/19/2008,Air,Pediatric,SCMS,2350.53,4.2,82.86,1260,51786,41.1,300,0.14,1185
